timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646157365070,97,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,294570,112,10,10,https://www.o2.pl/,82,0,0
1646157364977,201,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294592,112,10,10,https://www.o2.pl/,101,0,0
1646157365022,165,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,299898,112,10,10,https://www.o2.pl/,152,0,0
1646157364968,223,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,294783,112,10,10,https://www.o2.pl/,156,0,0
1646157365101,103,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,292973,112,10,10,https://www.o2.pl/,90,0,0
1646157365111,102,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294582,112,10,10,https://www.o2.pl/,87,0,0
1646157365098,119,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,292349,112,10,10,https://www.o2.pl/,104,0,0
1646157365136,109,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,294537,112,10,10,https://www.o2.pl/,98,0,0
1646157365168,90,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,292989,112,10,10,https://www.o2.pl/,80,0,0
1646157365188,99,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,294564,112,10,10,https://www.o2.pl/,84,0,0
1646157365163,132,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,294530,112,10,10,https://www.o2.pl/,83,0,0
1646157365204,94,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,292129,112,10,10,https://www.o2.pl/,80,0,0
1646157365214,105,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,293009,112,10,10,https://www.o2.pl/,90,0,0
1646157365217,110,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,294554,112,10,10,https://www.o2.pl/,95,0,0
1646157365178,169,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294576,112,10,10,https://www.o2.pl/,87,0,0
1646157365150,214,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,289501,112,10,10,https://www.o2.pl/,206,0,0
1646157365259,113,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,278099,112,10,10,https://www.o2.pl/,107,0,0
1646157365245,137,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,294618,112,10,10,https://www.o2.pl/,131,0,0
1646157365287,138,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,293845,112,10,10,https://www.o2.pl/,95,0,0
1646157365192,234,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,292205,112,10,10,https://www.o2.pl/,153,0,0
1646157365299,131,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,289603,112,10,10,https://www.o2.pl/,94,0,0
1646157365328,120,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,289524,112,10,10,https://www.o2.pl/,113,0,0
1646157365320,144,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294601,112,10,10,https://www.o2.pl/,137,0,0
1646157365296,181,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,293078,112,10,10,https://www.o2.pl/,137,0,0
1646157365382,103,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,294728,112,10,10,https://www.o2.pl/,97,0,0
1646157365347,143,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294594,112,10,10,https://www.o2.pl/,80,0,0
1646157365425,105,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,294577,112,10,10,https://www.o2.pl/,99,0,0
1646157365464,75,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294577,112,10,10,https://www.o2.pl/,69,0,0
1646157365373,189,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,299908,112,10,10,https://www.o2.pl/,176,0,0
1646157365431,133,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,281334,112,10,10,https://www.o2.pl/,121,0,0
1646157365427,155,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,293694,112,10,10,https://www.o2.pl/,110,0,0
1646157365448,160,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,293870,112,10,10,https://www.o2.pl/,153,0,0
1646157365477,131,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,294546,112,10,10,https://www.o2.pl/,94,0,0
1646157365531,97,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,300016,112,10,10,https://www.o2.pl/,91,0,0
1646157365364,277,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,299932,112,10,10,https://www.o2.pl/,270,0,0
1646157365563,87,tlen.pl request,200,OK,tlen.pl users 1-3,text,true,,294561,112,10,10,https://www.o2.pl/,80,0,0
1646157365540,113,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,293238,112,10,10,https://www.o2.pl/,107,0,0
1646157365490,706,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,281089,112,9,9,https://www.o2.pl/,129,0,0
1646157366196,282,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,291097,112,9,9,https://www.o2.pl/,116,0,0
1646157365642,1323,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,294823,112,9,9,https://www.o2.pl/,954,0,0
1646157365564,1407,tlen.pl request,200,OK,tlen.pl users 1-4,text,true,,294730,112,9,9,https://www.o2.pl/,1033,0,0
1646157366479,495,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294632,112,8,8,https://www.o2.pl/,205,0,0
1646157365485,1493,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,293638,112,8,8,https://www.o2.pl/,1114,0,0
1646157365609,1372,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,290628,112,8,8,https://www.o2.pl/,1051,0,0
1646157365608,1382,tlen.pl request,200,OK,tlen.pl users 1-5,text,true,,294573,112,8,8,https://www.o2.pl/,1003,0,0
1646157365629,1363,tlen.pl request,200,OK,tlen.pl users 1-6,text,true,,294548,112,7,7,https://www.o2.pl/,985,0,0
1646157365654,1362,tlen.pl request,200,OK,tlen.pl users 1-7,text,true,,294562,112,6,6,https://www.o2.pl/,1142,0,0
1646157366965,122,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,294751,112,5,5,https://www.o2.pl/,110,0,0
1646157366978,123,tlen.pl request,200,OK,tlen.pl users 1-1,text,true,,294747,112,5,5,https://www.o2.pl/,110,0,0
1646157366975,160,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,292386,112,4,4,https://www.o2.pl/,99,0,0
1646157366981,157,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,290562,112,4,4,https://www.o2.pl/,122,0,0
1646157367087,110,tlen.pl request,200,OK,tlen.pl users 1-9,text,true,,292985,112,4,4,https://www.o2.pl/,100,0,0
1646157367139,162,tlen.pl request,200,OK,tlen.pl users 1-2,text,true,,294581,112,3,3,https://www.o2.pl/,126,0,0
1646157367136,166,tlen.pl request,200,OK,tlen.pl users 1-10,text,true,,294591,112,3,3,https://www.o2.pl/,115,0,0
1646157365583,1791,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,294608,112,1,1,https://www.o2.pl/,1742,0,0
1646157367374,151,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,292973,112,1,1,https://www.o2.pl/,114,0,0
1646157367525,103,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,294645,112,1,1,https://www.o2.pl/,76,0,0
1646157367628,118,tlen.pl request,200,OK,tlen.pl users 1-8,text,true,,300130,112,1,1,https://www.o2.pl/,98,0,0
